,,,,매출금액,매출금액,매출금액,매출금액,매출금액,매출금액
연도,,,,2017,2018,2019,2020,2021,2022
행정구역 구분 코드,행정구역 명,생활밀접업종 분류코드,생활밀접업종명,,,,,,
2,과천시,1,가정용 직물제품 소매업,218986955.0,142988510.0,174006252.0,139995867.0,139992629.0,32087688.0
2,과천시,1,건강 보조식품 소매업,1697292056.0,1654080543.0,1596977491.0,1231848206.0,1232054083.0,335565827.0
2,과천시,1,"게임용구, 인형 및 장난감 소매업",99289750.0,59335444.0,42169835.0,204376466.0,377141158.0,5730888.0
2,과천시,1,"곡물, 곡분 및 가축 사료 소매업",18996193.0,11974186.0,25356963.0,20248821.0,6314256.0,
2,과천시,1,그 외 기타 분류 안된 가정용품 소매업,121590171.0,175000193.0,272990851.0,680981909.0,681041329.0,97796456.0
2,과천시,1,기타 식료품 소매업,1141993999.0,1310004395.0,1091993185.0,939974655.0,940018773.0,358426172.0
2,과천시,1,기타 음ㆍ식료품 위주 종합 소매업,4745318280.0,5723701005.0,4811395031.0,5008450204.0,5009728417.0,842947351.0
2,과천시,1,기타 의복 소매업,1514716647.0,1736824685.0,1997036167.0,954777899.0,954798314.0,172829585.0
2,과천시,1,남자용 겉옷 소매업,235994162.0,218931518.0,702975648.0,185175773.0,173662207.0,27644230.0
2,과천시,1,문구용품 및 회화용품 소매업,2478987164.0,2888763398.0,2702120106.0,2984730943.0,2986412145.0,751650646.0
2,과천시,1,"서적, 신문 및 잡지류 소매업",3320494593.0,2700987955.0,2546556930.0,716001115.0,716010390.0,195013593.0
2,과천시,1,속옷 및 잠옷 소매업,586066348.0,496053060.0,368034265.0,721266940.0,721200670.0,140043559.0
2,과천시,1,슈퍼마켓,1938975950.0,2245745309.0,4707812756.0,1842849336.0,1779617732.0,483668206.0
2,과천시,1,시계 및 귀금속 소매업,636975089.0,564111402.0,531917923.0,1462371592.0,1462539638.0,281320528.0
2,과천시,1,신발 소매업,529886204.0,546980328.0,502021294.0,952453532.0,952417033.0,247882522.0
2,과천시,1,안경 및 렌즈 소매업,1153072732.0,1084005653.0,1298138351.0,1393990443.0,1394128866.0,377379089.0
